"sample_id","chr","start","end","read.count"
"SRR5398213","1",13607172,13614411,1
"SRR5398213","1",23030468,23050520,4
"SRR5398217","1",23030468,23050520,49
"SRR5398216","1",23030468,23050520,157
"SRR5398215","1",23030468,23050520,24
"SRR5398214","1",23030468,23050520,28
"SRR5398218","1",23030468,23050520,41
"SRR5398213","1",23030468,23059167,2
"SRR5398217","1",23030468,23059167,10
"SRR5398216","1",23030468,23059167,30
"SRR5398215","1",23030468,23059167,5
"SRR5398214","1",23030468,23059167,6
"SRR5398218","1",23030468,23059167,2
"SRR5398213","1",24514313,24514567,6
"SRR5398217","1",24514313,24514567,32
"SRR5398216","1",24514313,24514567,50
"SRR5398215","1",24514313,24514567,39
"SRR5398214","1",24514313,24514567,10
"SRR5398218","1",24514313,24514567,3
"SRR5398213","1",24531217,24533254,1
"SRR5398217","1",24531217,24533254,2
"SRR5398216","1",24531217,24533254,6
"SRR5398215","1",24531217,24533254,2
"SRR5398213","1",25340473,25343073,3
"SRR5398217","1",25340473,25343073,13
"SRR5398216","1",25340473,25343073,20
"SRR5398215","1",25340473,25343073,16
"SRR5398214","1",25340473,25343073,14
"SRR5398218","1",25340473,25343073,13
"SRR5398213","1",26941456,26941818,10
"SRR5398217","1",26941456,26941818,22
"SRR5398216","1",26941456,26941818,19
"SRR5398215","1",26941456,26941818,6
"SRR5398214","1",26941456,26941818,7
"SRR5398218","1",26941456,26941818,12
"SRR5398213","1",28564702,28567413,1
"SRR5398213","1",31310043,31339048,1
"SRR5398217","1",31310043,31339048,2
"SRR5398216","1",31310043,31339048,5
"SRR5398213","1",31337174,31339048,5
"SRR5398217","1",31337174,31339048,3
"SRR5398216","1",31337174,31339048,2
"SRR5398215","1",31337174,31339048,2
"SRR5398214","1",31337174,31339048,4
"SRR5398218","1",31337174,31339048,1
"SRR5398213","1",31338956,31348974,2
"SRR5398216","1",31338956,31348974,4
"SRR5398213","1",32162046,32162327,1
"SRR5398213","1",35104294,35110447,1
"SRR5398217","1",35104294,35110447,1
"SRR5398216","1",35104294,35110447,5
"SRR5398213","1",35358924,35361789,2
"SRR5398217","1",35358924,35361789,13
"SRR5398216","1",35358924,35361789,106
"SRR5398214","1",35358924,35361789,8
"SRR5398218","1",35358924,35361789,9
"SRR5398213","1",35381258,35390098,1
"SRR5398216","1",35381258,35390098,2
"SRR5398213","1",36039789,36040441,1
"SRR5398217","1",36039789,36040441,1
"SRR5398216","1",36039789,36040441,2
"SRR5398213","1",39385433,39388658,1
"SRR5398213","1",40064226,40064559,13
"SRR5398217","1",40064226,40064559,25
"SRR5398216","1",40064226,40064559,54
"SRR5398215","1",40064226,40064559,14
"SRR5398214","1",40064226,40064559,15
"SRR5398218","1",40064226,40064559,34
"SRR5398213","1",42693489,42701046,1
"SRR5398213","1",45566568,45567020,9
"SRR5398217","1",45566568,45567020,6
"SRR5398216","1",45566568,45567020,10
"SRR5398215","1",45566568,45567020,8
"SRR5398214","1",45566568,45567020,8
"SRR5398218","1",45566568,45567020,8
"SRR5398213","1",51269955,51270125,1
"SRR5398217","1",51269955,51270125,2
"SRR5398213","1",51750144,51765981,1
"SRR5398217","1",51750144,51765981,3
"SRR5398216","1",51750144,51765981,6
"SRR5398214","1",51750144,51765981,1
"SRR5398218","1",51750144,51765981,1
"SRR5398213","1",53027968,53039046,2
"SRR5398217","1",53027968,53039046,2
"SRR5398215","1",53027968,53039046,1
"SRR5398214","1",53027968,53039046,2
"SRR5398218","1",53027968,53039046,1
"SRR5398213","1",77803269,77813867,1
"SRR5398217","1",77803269,77813867,2
"SRR5398216","1",77803269,77813867,18
"SRR5398214","1",77803269,77813867,1
"SRR5398213","1",77858937,77864028,1
"SRR5398217","1",77858937,77864028,7
"SRR5398216","1",77858937,77864028,9
"SRR5398213","1",93114687,93115618,1
"SRR5398216","1",93114687,93115618,4
"SRR5398215","1",93114687,93115618,2
"SRR5398214","1",93114687,93115618,1
"SRR5398213","1",109579203,109582565,2
"SRR5398217","1",109579203,109582565,4
